  epoch    train_accuracy    train_loss    valid_acc    valid_accuracy    valid_loss      lr      dur
    151            0.7766        0.6677       0.5228            0.5228        1.1496  0.0004  94.5105
    152            0.7812        0.6848       0.5258            0.5258        1.1405  0.0004  96.7358
    153            0.7816        0.6794       0.5285            0.5285        1.1408  0.0004  91.2944
    154            0.7639        0.6958       0.5289            0.5289        1.1581  0.0004  97.1569
    155            0.7689        0.6921       0.5228            0.5228        1.1528  0.0004  95.7437
    156            0.7755        0.6585       0.5255            0.5255        1.1579  0.0004  92.3647
    157            0.7774        0.6596       0.5228            0.5228        1.1635  0.0004  91.2867
    158            0.7716        0.6817       0.5262            0.5262        1.1691  0.0004  90.0166
    159            0.7809        0.6811       0.5255            0.5255        1.1562  0.0004  92.2971
    160            0.7616        0.6732       0.5185            0.5185        1.1698  0.0004  95.5597
    161            0.7755        0.6751       0.5220            0.5220        1.1676  0.0004  94.3644
    162            0.7812        0.6677       0.5274            0.5274        1.1593  0.0004  91.7964
    163            0.7855        0.6677       0.5247            0.5247        1.1564  0.0004  93.0342
    164            0.7905        0.6666       0.5297            0.5297        1.1465  0.0004  92.9553
    165            0.7909        0.6637       0.5262            0.5262        1.1536  0.0004  94.5309
    166            0.7843        0.6896       0.5309            0.5309        1.1525  0.0004  93.4227
    167            0.7948        0.6687       0.5293            0.5293        1.1547  0.0004  88.0156
    168            0.7758        0.6643       0.5162            0.5162        1.1661  0.0004  110.6416
    169            0.7801        0.6669       0.5270            0.5270        1.1695  0.0004  94.9128
    170            0.7897        0.6550       0.5251            0.5251        1.1669  0.0004  99.4975
    171            0.7951        0.6475       0.5285            0.5285        1.1514  0.0004  88.0452
    172            0.7851        0.6743       0.5289            0.5289        1.1547  0.0004  91.7193
    173            0.7820        0.6450       0.5251            0.5251        1.1629  0.0004  93.5268
    174            0.7778        0.6648       0.5293            0.5293        1.1654  0.0004  98.8246
    175            0.7766        0.6601       0.5270            0.5270        1.1723  0.0004  90.5995
    176            0.7897        0.6464       0.5316            0.5316        1.1592  0.0004  105.1994
    177            0.7843        0.6630       0.5293            0.5293        1.1594  0.0004  88.1758
    178            0.7816        0.6486       0.5231            0.5231        1.1722  0.0004  84.5606
    179            0.7894        0.6752       0.5270            0.5270        1.1634  0.0004  90.1192
    180            0.7982        0.6447       0.5324            0.5324        1.1573  0.0004  89.5412
    181            0.7890        0.6511       0.5274            0.5274        1.1610  0.0004  89.0605
    182            0.7851        0.6683       0.5266            0.5266        1.1679  0.0004  89.4962
    183            0.8005        0.6578       0.5305            0.5305        1.1522  0.0004  87.2458
    184            0.7936        0.6502       0.5262            0.5262        1.1602  0.0004  89.5833
    185            0.7832        0.6524       0.5293            0.5293        1.1817  0.0004  126.5919
    186            0.7890        0.6428       0.5297            0.5297        1.1696  0.0003  90.6620
    187            0.7978        0.6317       0.5370            0.5370        1.1633  0.0003  91.5701
    188            0.7901        0.6438       0.5270            0.5270        1.1710  0.0003  113.2545
    189            0.7843        0.6392       0.5266            0.5266        1.1799  0.0003  98.8961
    190            0.7971        0.6570       0.5235            0.5235        1.1674  0.0003  136.2928
    191            0.8029        0.6214       0.5316            0.5316        1.1665  0.0003  91.0022
    192            0.7936        0.6390       0.5258            0.5258        1.1716  0.0003  89.5129
    193            0.8013        0.6479       0.5340            0.5340        1.1647  0.0003  91.2755
    194            0.7940        0.6609       0.5285            0.5285        1.1739  0.0003  92.4537
    195            0.7917        0.6550       0.5312            0.5312        1.1682  0.0003  88.0247
    196            0.7951        0.6470       0.5293            0.5293        1.1659  0.0003  87.0230
    197            0.7870        0.6293       0.5251            0.5251        1.1805  0.0003  87.3645
    198            0.7917        0.6354       0.5285            0.5285        1.1645  0.0003  89.6608
    199            0.7990        0.6487       0.5293            0.5293        1.1682  0.0003  88.0189
    200            0.8002        0.6271       0.5312            0.5312        1.1656  0.0003  90.4084
    201            0.7948        0.6449       0.5289            0.5289        1.1733  0.0003  97.1988
    202            0.7998        0.6225       0.5309            0.5309        1.1665  0.0003  84.8531
    203            0.7967        0.6242       0.5305            0.5305        1.1744  0.0003  93.2507
    204            0.7978        0.6385       0.5340            0.5340        1.1763  0.0003  88.8274
    205            0.7913        0.6353       0.5309            0.5309        1.1874  0.0003  91.5687
    206            0.7940        0.6369       0.5274            0.5274        1.1770  0.0003  94.6922
    207            0.8032        0.6221       0.5355            0.5355        1.1722  0.0003  93.1724
    208            0.8048        0.6425       0.5328            0.5328        1.1659  0.0003  94.2150
    209            0.8040        0.6600       0.5347            0.5347        1.1649  0.0003  93.0652
    210            0.8113        0.6482       0.5258            0.5258        1.1563  0.0003  94.9059
    211            0.8125        0.6566       0.5397            0.5397        1.1530  0.0003  99.2786
    212            0.8005        0.6353       0.5293            0.5293        1.1691  0.0003  83.6573
    213            0.8071        0.6286       0.5367            0.5367        1.1594  0.0003  77.2857
    214            0.8048        0.6273       0.5305            0.5305        1.1693  0.0003  81.3901
    215            0.7959        0.6326       0.5328            0.5328        1.1738  0.0003  76.8058
    216            0.7932        0.6412       0.5320            0.5320        1.1805  0.0003  81.9891
    217            0.7921        0.6299       0.5320            0.5320        1.1827  0.0003  80.2493
    218            0.7928        0.6362       0.5367            0.5367        1.1774  0.0003  85.5380
    219            0.7998        0.6178       0.5336            0.5336        1.1730  0.0003  75.5067
    220            0.8017        0.6236       0.5278            0.5278        1.1776  0.0003  79.3446
    221            0.7990        0.6333       0.5312            0.5312        1.1775  0.0003  77.9964
    222            0.8048        0.6292       0.5320            0.5320        1.1716  0.0003  78.4670
    223            0.7975        0.6226       0.5320            0.5320        1.1831  0.0003  77.9381
    224            0.8156        0.6419       0.5293            0.5293        1.1659  0.0003  79.3791
    225            0.8083        0.6443       0.5282            0.5282        1.1729  0.0003  74.5914
    226            0.8098        0.6422       0.5285            0.5285        1.1727  0.0003  75.3826
    227            0.8129        0.6308       0.5278            0.5278        1.1696  0.0002  82.5825
    228            0.8075        0.6294       0.5274            0.5274        1.1727  0.0002  79.8111
    229            0.8152        0.6370       0.5309            0.5309        1.1602  0.0002  79.7538
    230            0.8113        0.6252       0.5320            0.5320        1.1696  0.0002  85.5190
    231            0.8098        0.6239       0.5316            0.5316        1.1766  0.0002  81.2162
    232            0.8079        0.6209       0.5297            0.5297        1.1804  0.0002  76.5436
    233            0.8083        0.6098       0.5309            0.5309        1.1720  0.0002  80.7680
    234            0.8121        0.6353       0.5278            0.5278        1.1688  0.0002  79.8377
    235            0.8152        0.6370       0.5309            0.5309        1.1710  0.0002  77.0274
    236            0.7994        0.6255       0.5270            0.5270        1.1932  0.0002  74.9432
    237            0.8048        0.6390       0.5255            0.5255        1.1809  0.0002  77.8626
    238            0.8005        0.6018       0.5282            0.5282        1.1877  0.0002  79.3718
    239            0.7971        0.6170       0.5255            0.5255        1.1863  0.0002  74.9394
    240            0.8056        0.6132       0.5328            0.5328        1.1821  0.0002  80.2214
    241            0.8040        0.6167       0.5343            0.5343        1.1846  0.0002  89.5604
    242            0.8121        0.6237       0.5347            0.5347        1.1753  0.0002  89.0988
    243            0.8063        0.6124       0.5305            0.5305        1.1824  0.0002  79.3506
    244            0.8075        0.6200       0.5320            0.5320        1.1809  0.0002  86.4029
    245            0.8102        0.6092       0.5332            0.5332        1.1836  0.0002  82.1048
    246            0.8052        0.6169       0.5316            0.5316        1.1838  0.0002  96.4723
    247            0.8013        0.6010       0.5316            0.5316        1.1839  0.0002  79.2674
    248            0.7975        0.6193       0.5336            0.5336        1.1848  0.0002  79.7441
    249            0.8129        0.6236       0.5343            0.5343        1.1733  0.0002  78.5536
    250            0.8125        0.6319       0.5332            0.5332        1.1746  0.0002  78.8947
    251            0.8117        0.6020       0.5320            0.5320        1.1707  0.0002  82.4469
    252            0.8086        0.6037       0.5355            0.5355        1.1744  0.0002  78.1288
    253            0.8075        0.6028       0.5347            0.5347        1.1759  0.0002  82.8493
    254            0.8160        0.6034       0.5363            0.5363        1.1717  0.0002  79.2107
    255            0.8152        0.5980       0.5390            0.5390        1.1717  0.0002  82.3481
    256            0.8164        0.6236       0.5382            0.5382        1.1678  0.0002  76.2306
    257            0.8248        0.6208       0.5367            0.5367        1.1684  0.0002  79.8465
    258            0.8129        0.6080       0.5347            0.5347        1.1792  0.0002  74.7353
    259            0.8106        0.6067       0.5340            0.5340        1.1787  0.0002  85.6733
    260            0.8083        0.6157       0.5367            0.5367        1.1780  0.0002  80.4863
    261            0.8036        0.6316       0.5359            0.5359        1.1829  0.0002  78.2843
    262            0.8148        0.6101       0.5351            0.5351        1.1760  0.0002  77.0882
    263            0.8140        0.6082       0.5343            0.5343        1.1793  0.0002  78.0682
    264            0.8121        0.6184       0.5351            0.5351        1.1830  0.0002  78.2453
    265            0.8040        0.6241       0.5351            0.5351        1.1912  0.0002  76.7897
    266            0.8048        0.6015       0.5332            0.5332        1.1898  0.0002  79.4555
    267            0.8067        0.6007       0.5378            0.5378        1.1841  0.0002  76.6329
    268            0.8202        0.5949       0.5367            0.5367        1.1772  0.0002  113.6800
    269            0.8148        0.5940       0.5363            0.5363        1.1769  0.0002  93.5302
    270            0.8121        0.6054       0.5363            0.5363        1.1825  0.0001  83.4777
    271            0.8079        0.6176       0.5324            0.5324        1.1920  0.0001  77.5891
    272            0.8133        0.6021       0.5324            0.5324        1.1876  0.0001  75.6992
    273            0.8125        0.6032       0.5347            0.5347        1.1866  0.0001  90.4036
    274            0.8067        0.6037       0.5320            0.5320        1.1883  0.0001  82.7169
    275            0.8059        0.6244       0.5336            0.5336        1.1892  0.0001  79.7533
    276            0.8102        0.5924       0.5405            0.5405        1.1878  0.0001  77.5667
    277            0.8056        0.5940       0.5351            0.5351        1.1914  0.0001  79.5766
    278            0.8029        0.6007       0.5347            0.5347        1.1958  0.0001  77.1643
    279            0.8094        0.6000       0.5370            0.5370        1.1899  0.0001  83.8061
    280            0.8098        0.6211       0.5401            0.5401        1.1844  0.0001  76.4375
    281            0.8152        0.6131       0.5370            0.5370        1.1850  0.0001  75.7278
    282            0.8129        0.6027       0.5359            0.5359        1.1852  0.0001  81.6144
    283            0.8059        0.6046       0.5359            0.5359        1.1937  0.0001  76.2999
    284            0.8036        0.6159       0.5340            0.5340        1.1914  0.0001  88.2786
    285            0.7978        0.5941       0.5320            0.5320        1.1980  0.0001  74.7753
    286            0.8059        0.6013       0.5340            0.5340        1.1904  0.0001  75.7688
    287            0.8067        0.6066       0.5343            0.5343        1.1895  0.0001  74.9349
    288            0.8094        0.5875       0.5355            0.5355        1.1884  0.0001  87.5971
    289            0.8048        0.5821       0.5320            0.5320        1.1948  0.0001  90.6571
    290            0.8079        0.6171       0.5332            0.5332        1.1890  0.0001  74.4575
    291            0.8094        0.5925       0.5351            0.5351        1.1874  0.0001  67.2665
    292            0.8083        0.5924       0.5401            0.5401        1.1911  0.0001  73.3371
    293            0.8125        0.5797       0.5351            0.5351        1.1889  0.0001  70.3195
    294            0.8094        0.5921       0.5378            0.5378        1.1939  0.0001  77.9516
    295            0.8059        0.5894       0.5351            0.5351        1.1928  0.0001  72.7302
    296            0.8106        0.6079       0.5347            0.5347        1.1886  0.0001  86.4058
    297            0.8094        0.6089       0.5340            0.5340        1.1906  0.0001  88.5751
    298            0.8140        0.6028       0.5355            0.5355        1.1876  0.0001  85.5414
    299            0.8083        0.6003       0.5340            0.5340        1.1899  0.0001  82.6028
    300            0.8098        0.5892       0.5343            0.5343        1.1894  0.0001  85.2034
    301            0.8075        0.5951       0.5336            0.5336        1.1942  0.0001  79.9164
    302            0.8086        0.6102       0.5355            0.5355        1.1909  0.0001  82.9934
    303            0.8079        0.5784       0.5343            0.5343        1.1972  0.0001  80.7095
    304            0.8106        0.5935       0.5359            0.5359        1.1903  0.0001  76.0280
    305            0.8098        0.5993       0.5359            0.5359        1.1905  0.0001  87.7990
    306            0.8044        0.5931       0.5359            0.5359        1.1939  0.0001  84.5085
    307            0.8040        0.6017       0.5355            0.5355        1.1936  0.0001  81.9574
    308            0.8098        0.5922       0.5370            0.5370        1.1913  0.0001  89.0880
    309            0.8025        0.5793       0.5351            0.5351        1.1973  0.0001  85.5669
    310            0.8021        0.5887       0.5324            0.5324        1.1966  0.0001  75.0481
    311            0.8094        0.5997       0.5370            0.5370        1.1915  0.0001  75.3910
    312            0.8079        0.6000       0.5355            0.5355        1.1898  0.0001  72.3269
    313            0.8083        0.6010       0.5367            0.5367        1.1929  0.0001  73.3258
    314            0.8113        0.6093       0.5363            0.5363        1.1884  0.0001  71.9602
    315            0.8117        0.5977       0.5367            0.5367        1.1867  0.0001  81.4416
    316            0.8156        0.5909       0.5370            0.5370        1.1862  0.0001  74.4398
    317            0.8129        0.5798       0.5370            0.5370        1.1877  0.0001  71.6638
    318            0.8164        0.6038       0.5374            0.5374        1.1891  0.0001  69.9411
    319            0.8125        0.6119       0.5355            0.5355        1.1886  0.0001  72.4454
    320            0.8133        0.5949       0.5351            0.5351        1.1876  0.0001  87.2933
    321            0.8129        0.5903       0.5367            0.5367        1.1908  0.0001  75.8426
    322            0.8113        0.6111       0.5343            0.5343        1.1906  0.0001  73.9537
    323            0.8098        0.6063       0.5382            0.5382        1.1908  0.0001  75.9723
    324            0.8090        0.6059       0.5382            0.5382        1.1927  0.0001  85.2805
    325            0.8137        0.5989       0.5363            0.5363        1.1921  0.0001  75.9635
    326            0.8106        0.5758       0.5340            0.5340        1.1927  0.0001  70.6317
    327            0.8121        0.5995       0.5343            0.5343        1.1907  0.0001  75.3417
    328            0.8171        0.6045       0.5370            0.5370        1.1869  0.0000  75.9297
    329            0.8152        0.5986       0.5386            0.5386        1.1858  0.0000  82.1809
    330            0.8102        0.6175       0.5370            0.5370        1.1874  0.0000  90.0456
    331            0.8110        0.5873       0.5374            0.5374        1.1888  0.0000  90.8120
    332            0.8113        0.5814       0.5355            0.5355        1.1878  0.0000  71.9903
    333            0.8110        0.6073       0.5367            0.5367        1.1880  0.0000  71.2971
    334            0.8086        0.5935       0.5359            0.5359        1.1881  0.0000  74.4260
    335            0.8098        0.5939       0.5363            0.5363        1.1899  0.0000  79.7541
    336            0.8079        0.5772       0.5351            0.5351        1.1913  0.0000  91.4320
    337            0.8071        0.5983       0.5367            0.5367        1.1904  0.0000  105.8438
    338            0.8063        0.5759       0.5367            0.5367        1.1920  0.0000  90.8581
    339            0.8083        0.5877       0.5367            0.5367        1.1908  0.0000  70.8476
    340            0.8086        0.5874       0.5363            0.5363        1.1898  0.0000  73.3554
    341            0.8110        0.5741       0.5367            0.5367        1.1887  0.0000  75.3460
    342            0.8106        0.6112       0.5374            0.5374        1.1899  0.0000  72.3395
    343            0.8086        0.5933       0.5363            0.5363        1.1907  0.0000  74.0407
    344            0.8075        0.5741       0.5359            0.5359        1.1930  0.0000  76.6376
    345            0.8098        0.5937       0.5355            0.5355        1.1928  0.0000  77.7388
    346            0.8086        0.5898       0.5355            0.5355        1.1926  0.0000  74.5186
    347            0.8098        0.5913       0.5351            0.5351        1.1919  0.0000  71.7749
    348            0.8098        0.6189       0.5351            0.5351        1.1921  0.0000  91.8883
