  epoch    train_accuracy    train_loss    valid_acc    valid_accuracy    valid_loss      lr       dur
    198            0.8221        0.8130       0.6767            0.6767        0.8149  0.0454  227.7853
    199            0.8110        0.7699       0.6767            0.6767        0.8252  0.0453  253.0419
    200            0.7975        0.7764       0.6617            0.6617        0.8341  0.0453  236.3421
    201            0.7782        0.8478       0.6439            0.6439        0.8731  0.0452  233.5449
    202            0.7921        0.8650       0.6539            0.6539        0.8524  0.0452  235.8342
    203            0.7809        0.8462       0.6528            0.6528        0.8834  0.0451  239.5397
    204            0.8160        0.7844       0.6779            0.6779        0.8143  0.0451  250.2578
    205            0.7712        0.7708       0.6400            0.6400        0.8894  0.0450  239.1014
    206            0.7789        0.8654       0.6570            0.6570        0.8605  0.0450  240.3976
    207            0.8167        0.8081       0.6917            0.6917        0.8012  0.0449  243.0901
    208            0.8017        0.8021       0.6705            0.6705        0.8309  0.0449  227.8132
    209            0.8191        0.8825       0.6825            0.6825        0.8141  0.0448  238.2685
    210            0.8272        0.7768       0.6798            0.6798        0.8217  0.0448  244.0749
    211            0.7465        0.8584       0.6285            0.6285        0.9266  0.0447  231.2078
    212            0.7569        1.0285       0.6346            0.6346        0.9239  0.0447  254.6640
    213            0.7975        0.8714       0.6698            0.6698        0.8411  0.0446  249.2745
    214            0.7315        0.7995       0.6157            0.6157        0.9725  0.0446  243.9012
    215            0.8059        0.7769       0.6535            0.6535        0.8425  0.0445  238.7342
    216            0.8179        0.7736       0.6786            0.6786        0.8254  0.0445  252.0954
    217            0.8318        0.7538       0.6856            0.6856        0.8039  0.0445  243.3228
    218            0.7789        0.8125       0.6512            0.6512        0.8839  0.0444  262.8717
    219            0.7944        0.7963       0.6547            0.6547        0.8678  0.0444  237.7915
    220            0.8194        0.8684       0.6755            0.6755        0.8162  0.0443  233.0852
    221            0.8079        0.8231       0.6601            0.6601        0.8373  0.0443  256.7595
    222            0.8067        0.8180       0.6671            0.6671        0.8354  0.0442  282.6386
    223            0.8156        0.8378       0.6809            0.6809        0.8176  0.0442  269.6821
    224            0.7739        0.8393       0.6385            0.6385        0.9181  0.0441  234.9100
    225            0.7990        0.8365       0.6663            0.6663        0.8249  0.0440  249.4027
    226            0.8083        0.7795       0.6755            0.6755        0.8408  0.0440  256.9299
    227            0.7994        0.7832       0.6535            0.6535        0.8480  0.0439  252.7723
    228            0.8260        0.7583       0.6779            0.6779        0.8061  0.0439  246.9568
    229            0.8256        0.8171       0.6829            0.6829        0.8059  0.0438  230.1768
    230            0.8221        0.8080       0.6694            0.6694        0.8127  0.0438  243.6298
    231            0.7828        0.8451       0.6470            0.6470        0.8826  0.0437  242.4911
    232            0.8129        0.8401       0.6798            0.6798        0.8330  0.0437  234.8386
    233            0.7438        0.8240       0.6339            0.6339        0.9161  0.0436  237.4486
    234            0.8133        0.8205       0.6690            0.6690        0.8238  0.0436  229.4985
    235            0.7975        0.7917       0.6644            0.6644        0.8432  0.0435  252.7477
    236            0.8140        0.7909       0.6671            0.6671        0.8381  0.0435  224.0158
    237            0.8191        0.7755       0.6663            0.6663        0.8340  0.0434  246.8212
    238            0.7894        0.7608       0.6466            0.6466        0.8664  0.0434  220.8173
    239            0.8383        0.7615       0.6736            0.6736        0.8214  0.0433  242.4972
    240            0.6663        0.8275       0.5517            0.5517        1.1747  0.0433  244.6673
    241            0.7728        0.8312       0.6397            0.6397        0.8939  0.0432  261.9219
    242            0.7998        0.7981       0.6617            0.6617        0.8571  0.0432  245.6531
    243            0.8241        0.7696       0.6755            0.6755        0.8291  0.0431  258.3911
    244            0.8256        0.7381       0.6728            0.6728        0.8188  0.0430  248.2120
    245            0.8160        0.8367       0.6624            0.6624        0.8553  0.0430  234.1649
    246            0.7824        0.7562       0.6439            0.6439        0.8701  0.0429  257.3522
    247            0.7909        0.7729       0.6671            0.6671        0.8492  0.0429  229.3438
    248            0.7296        0.7621       0.6119            0.6119        0.9688  0.0428  221.2082
    249            0.7847        0.7694       0.6605            0.6605        0.9008  0.0428  226.5793
    250            0.8191        0.7958       0.6748            0.6748        0.8153  0.0427  226.4611
    251            0.8237        0.8081       0.6744            0.6744        0.8253  0.0427  217.5025
    252            0.7762        0.7853       0.6385            0.6385        0.9695  0.0426  229.5911
    253            0.7978        0.7918       0.6543            0.6543        0.8493  0.0426  249.4628
    254            0.7172        0.8203       0.6084            0.6084        1.0030  0.0425  229.0933
    255            0.8252        0.8107       0.6944            0.6944        0.8006  0.0424  239.8473
    256            0.7870        0.7795       0.6431            0.6431        0.8773  0.0424  239.0293
    257            0.6462        0.7969       0.5475            0.5475        1.0898  0.0423  236.7117
    258            0.7816        0.8099       0.6489            0.6489        0.8634  0.0423  225.2278
    259            0.8194        0.7625       0.6671            0.6671        0.8295  0.0422  234.0526
    260            0.6096        0.7644       0.5170            0.5170        1.3554  0.0422  237.4553
    261            0.7149        0.7959       0.6019            0.6019        1.0124  0.0421  242.7722
    262            0.7913        0.7980       0.6559            0.6559        0.8487  0.0420  234.6665
    263            0.7998        0.7654       0.6597            0.6597        0.8418  0.0420  222.8967
    264            0.8102        0.7617       0.6605            0.6605        0.8346  0.0419  227.2061
    265            0.7982        0.8143       0.6543            0.6543        0.8408  0.0419  211.6703
    266            0.8295        0.7687       0.6860            0.6860        0.8138  0.0418  242.0638
    267            0.8094        0.7476       0.6771            0.6771        0.8289  0.0418  244.8577
    268            0.7843        0.7678       0.6493            0.6493        0.8632  0.0417  231.4627
    269            0.8164        0.7812       0.6767            0.6767        0.8184  0.0416  234.5715
    270            0.8322        0.7798       0.6798            0.6798        0.8021  0.0416  244.7293
    271            0.7392        0.7366       0.6127            0.6127        0.9538  0.0415  265.7232
    272            0.7994        0.8230       0.6640            0.6640        0.8570  0.0415  268.3731
    273            0.8194        0.8631       0.6562            0.6562        0.8391  0.0414  274.3486
    274            0.8283        0.7616       0.6786            0.6786        0.8007  0.0413  254.5208
    275            0.8302        0.7596       0.6844            0.6844        0.8054  0.0413  271.5503
    276            0.8314        0.8321       0.6933            0.6933        0.8047  0.0412  265.0740
    277            0.8256        0.7738       0.6806            0.6806        0.8149  0.0412  258.0879
    278            0.8314        0.7730       0.6844            0.6844        0.8007  0.0411  277.5885
    279            0.7431        0.7845       0.6296            0.6296        0.9591  0.0410  236.9814
    280            0.8318        0.7784       0.6929            0.6929        0.7979  0.0410  237.4692
    281            0.7276        0.8398       0.5992            0.5992        1.0075  0.0409  241.0167
    282            0.8210        0.8171       0.6752            0.6752        0.8174  0.0409  226.4167
    283            0.7882        0.7441       0.6481            0.6481        0.8757  0.0408  224.6134
    284            0.7859        0.7688       0.6532            0.6532        0.8755  0.0407  243.1940
    285            0.8121        0.7690       0.6582            0.6582        0.8337  0.0407  229.2200
    286            0.7936        0.7265       0.6562            0.6562        0.8502  0.0406  250.8620
    287            0.8198        0.7251       0.6775            0.6775        0.8372  0.0406  257.9149
    288            0.7928        0.7673       0.6451            0.6451        0.8660  0.0405  240.0754
    289            0.8009        0.7583       0.6644            0.6644        0.8418  0.0404  228.7555
    290            0.8175        0.7381       0.6709            0.6709        0.8281  0.0404  245.7858
    291            0.8052        0.7619       0.6551            0.6551        0.8666  0.0403  232.7757
    292            0.8117        0.7831       0.6728            0.6728        0.8441  0.0402  233.0827
    293            0.8167        0.8257       0.6782            0.6782        0.8233  0.0402  254.1202
    294            0.6941        0.7957       0.5849            0.5849        1.0054  0.0401  252.7820
    295            0.7639        0.8349       0.6246            0.6246        0.9269  0.0401  252.1954
    296            0.8241        0.7623       0.6736            0.6736        0.8248  0.0400  243.3506
    297            0.7963        0.7497       0.6520            0.6520        0.8488  0.0399  246.5720
    298            0.8295        0.8232       0.6887            0.6887        0.7974  0.0399  242.9598
    299            0.8187        0.8107       0.6725            0.6725        0.8152  0.0398  242.3741
    300            0.8013        0.7453       0.6605            0.6605        0.8429  0.0397  226.7134
    301            0.6964        0.8549       0.5887            0.5887        1.0869  0.0397  237.7577
    302            0.8218        0.8965       0.6848            0.6848        0.8144  0.0396  219.0159
    303            0.7809        0.7976       0.6435            0.6435        0.8889  0.0395  238.8859
    304            0.8137        0.7974       0.6605            0.6605        0.8393  0.0395  234.9917
    305            0.7959        0.7691       0.6593            0.6593        0.8653  0.0394  237.0257
    306            0.8314        0.7655       0.6933            0.6933        0.7949  0.0394  234.0942
    307            0.7855        0.7544       0.6373            0.6373        0.8644  0.0393  234.1473
    308            0.8302        0.7354       0.6867            0.6867        0.8185  0.0392  235.3107
    309            0.8133        0.7833       0.6682            0.6682        0.8217  0.0392  242.2574
    310            0.8214        0.7178       0.6709            0.6709        0.8133  0.0391  221.6654
    311            0.8071        0.7469       0.6547            0.6547        0.8509  0.0390  229.7536
    312            0.8063        0.7877       0.6551            0.6551        0.8576  0.0390  232.3698
    313            0.8376        0.8195       0.6875            0.6875        0.8159  0.0389  234.4743
    314            0.7975        0.7366       0.6532            0.6532        0.8610  0.0388  227.8996
    315            0.8090        0.7306       0.6578            0.6578        0.8415  0.0388  238.7631
    316            0.8210        0.7501       0.6736            0.6736        0.8212  0.0387  242.8032
    317            0.8110        0.7456       0.6593            0.6593        0.8423  0.0386  234.0511
    318            0.8067        0.7393       0.6609            0.6609        0.8478  0.0386  222.0588
    319            0.8272        0.7562       0.6786            0.6786        0.8112  0.0385  247.5466
    320            0.8245        0.7597       0.6725            0.6725        0.8112  0.0384  251.4246
    321            0.8279        0.7938       0.6852            0.6852        0.8117  0.0384  252.2336
    322            0.8106        0.7660       0.6690            0.6690        0.8293  0.0383  239.0797
    323            0.8148        0.7655       0.6794            0.6794        0.8251  0.0382  240.9676
    324            0.7666        0.7666       0.6350            0.6350        0.8895  0.0382  258.0539
    325            0.8268        0.7606       0.6779            0.6779        0.8059  0.0381  252.0591
    326            0.7913        0.7624       0.6590            0.6590        0.8419  0.0380  246.2475
    327            0.8048        0.7282       0.6613            0.6613        0.8633  0.0380  239.4965
    328            0.8191        0.7304       0.6624            0.6624        0.8556  0.0379  231.1657
    329            0.8140        0.7617       0.6690            0.6690        0.8489  0.0378  231.4131
    330            0.8376        0.7872       0.6941            0.6941        0.7907  0.0378  247.7585
    331            0.8414        0.7489       0.6887            0.6887        0.8039  0.0377  265.7102
    332            0.8360        0.7513       0.6798            0.6798        0.8047  0.0376  225.2907
    333            0.8187        0.7512       0.6775            0.6775        0.8110  0.0376  236.5771
